VerilogEval,TB-VER-0011,fsm_shift_reg_01,Sequential FSM,GPT-4-Turbo,OpenAI,Llama-3.1-70B-Instruct,Meta,0,96.55,87.9,79.4,25,8,17,32.0,64.55,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_CORRECT,0,0.7446,PASS,TRUE_ACCEPTANCE,0,44.0,0.2898,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0012,fsm_shift_reg_01,Sequential FSM,DeepSeek-Coder-V2-0724,DeepSeek,GPT-4o,OpenAI,0,90.92,80.21,68.85,25,9,16,36.0,54.92,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.6471,PASS,FALSE_ACCEPTANCE,1,36.0,0.2318,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0013,fsm_shift_reg_01,Sequential FSM,DeepSeek-Coder-V2-0724,DeepSeek,DeepSeek-Coder-V2,DeepSeek,1,95.96,81.79,65.98,25,8,17,32.0,63.96,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_BUGGY,1,0.8794,PASS,FALSE_ACCEPTANCE,1,66.12,0.3726,1.74,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0014,fsm_shift_reg_01,Sequential FSM,Qwen2.5-Coder-32B,Qwen,GPT-4o,OpenAI,0,96.44,81.75,64.17,25,8,17,32.0,64.44,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_CORRECT,0,0.8248,PASS,TRUE_ACCEPTANCE,0,36.0,0.2318,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0015,fsm_shift_reg_01,Sequential FSM,Qwen2.5-Coder-32B,Qwen,Claude-3.5-Sonnet,Anthropic,0,92.16,79.43,69.08,25,9,16,36.0,56.16,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.6773,PASS,FALSE_ACCEPTANCE,1,33.0,0.219,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0016,fsm_shift_reg_01,Sequential FSM,Qwen2.5-Coder-32B,Qwen,Qwen2.5-Coder-32B,Qwen,1,93.61,86.86,71.54,25,7,18,28.0,65.61,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_BUGGY,1,0.4958,FAIL,TRUE_REJECTION,0,68.0,0.3969,1.7,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0017,fsm_shift_reg_01,Sequential FSM,Llama-3.1-70B-Instruct,Meta,Claude-3.5-Sonnet,Anthropic,0,90.76,77.83,60.48,25,10,15,40.0,50.76,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_CORRECT,0,0.8101,PASS,TRUE_ACCEPTANCE,0,33.0,0.219,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0018,fsm_shift_reg_01,Sequential FSM,Llama-3.1-70B-Instruct,Meta,DeepSeek-Coder-V2,DeepSeek,0,90.71,79.42,61.96,25,7,18,28.0,62.71,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.4378,FAIL,TRUE_REJECTION,0,38.0,0.2539,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0019,fsm_shift_reg_01,Sequential FSM,Llama-3.1-70B-Instruct,Meta,Llama-3.1-70B-Instruct,Meta,1,93.88,85.13,74.77,25,5,20,20.0,73.88,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.6889,PASS,FALSE_ACCEPTANCE,1,73.92,0.4253,1.68,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0020,fsm_shift_reg_01,Sequential FSM,CodeLlama-34B-Instruct,Meta,GPT-4o,OpenAI,0,90.31,76.32,70.65,25,5,20,20.0,70.31,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_CORRECT,0,0.9564,PASS,TRUE_ACCEPTANCE,0,36.0,0.2318,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0021,fsm_shift_reg_01,Sequential FSM,CodeLlama-34B-Instruct,Meta,Claude-3.5-Sonnet,Anthropic,0,86.95,78.22,68.98,25,6,19,24.0,62.95,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_BUGGY,1,0.147,FAIL,TRUE_REJECTION,0,33.0,0.219,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0022,fsm_shift_reg_01,Sequential FSM,CodeLlama-34B-Instruct,Meta,DeepSeek-Coder-V2,DeepSeek,0,87.28,76.61,65.97,25,5,20,20.0,67.28,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.2831,FAIL,TRUE_REJECTION,0,38.0,0.2539,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0023,fsm_shift_reg_01,Sequential FSM,CodeLlama-34B-Instruct,Meta,Qwen2.5-Coder-32B,Qwen,0,92.22,85.82,73.73,25,9,16,36.0,56.22,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_CORRECT,0,0.66,PASS,TRUE_ACCEPTANCE,0,40.0,0.2705,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0024,fsm_shift_reg_01,Sequential FSM,CodeLlama-34B-Instruct,Meta,Llama-3.1-70B-Instruct,Meta,1,91.4,83.7,69.46,25,8,17,32.0,59.4,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.8226,PASS,FALSE_ACCEPTANCE,1,73.92,0.4253,1.68,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0025,fsm_shift_reg_01,Sequential FSM,VeriGen-16B,OpenHardware,DeepSeek-Coder-V2,DeepSeek,0,88.28,78.45,68.07,25,4,21,16.0,72.28,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.3616,FAIL,TRUE_REJECTION,0,38.0,0.2539,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0026,popcount_8bit_02,Arithmetic Datapath,Claude-3.5-Sonnet,Anthropic,GPT-4o,OpenAI,0,97.88,87.67,78.43,25,13,12,52.0,45.88,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_CORRECT,0,0.9423,PASS,TRUE_ACCEPTANCE,0,36.0,0.2318,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0027,popcount_8bit_02,Arithmetic Datapath,Claude-3.5-Sonnet,Anthropic,Claude-3.5-Sonnet,Anthropic,1,97.5,83.87,75.87,25,9,16,36.0,61.5,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_BUGGY,1,0.5801,PASS,FALSE_ACCEPTANCE,1,60.06,0.3213,1.82,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0028,popcount_8bit_02,Arithmetic Datapath,GPT-4o,OpenAI,GPT-4o,OpenAI,1,92.6,77.95,68.38,25,9,16,36.0,56.6,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.6008,PASS,FALSE_ACCEPTANCE,1,64.08,0.3402,1.78,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0029,popcount_8bit_02,Arithmetic Datapath,GPT-4o,OpenAI,Claude-3.5-Sonnet,Anthropic,0,94.34,83.22,75.44,25,9,16,36.0,58.34,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_CORRECT,0,0.8055,PASS,TRUE_ACCEPTANCE,0,33.0,0.219,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0030,popcount_8bit_02,Arithmetic Datapath,GPT-4o,OpenAI,DeepSeek-Coder-V2,DeepSeek,0,99.25,90.88,73.46,25,10,15,40.0,59.25,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.1616,FAIL,TRUE_REJECTION,0,38.0,0.2539,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0031,popcount_8bit_02,Arithmetic Datapath,GPT-4o,OpenAI,Qwen2.5-Coder-32B,Qwen,0,92.6,84.11,68.22,25,10,15,40.0,52.6,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.4356,FAIL,TRUE_REJECTION,0,40.0,0.2705,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0032,popcount_8bit_02,Arithmetic Datapath,GPT-4o,OpenAI,Llama-3.1-70B-Instruct,Meta,0,96.35,82.27,67.17,25,11,14,44.0,52.35,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_CORRECT,0,0.8244,PASS,TRUE_ACCEPTANCE,0,44.0,0.2898,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0033,popcount_8bit_02,Arithmetic Datapath,GPT-4-Turbo,OpenAI,GPT-4o,OpenAI,1,95.62,83.45,70.96,25,10,15,40.0,55.62,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.7207,PASS,FALSE_ACCEPTANCE,1,64.08,0.3402,1.78,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0034,popcount_8bit_02,Arithmetic Datapath,GPT-4-Turbo,OpenAI,Llama-3.1-70B-Instruct,Meta,0,89.7,81.76,70.75,25,11,14,44.0,45.7,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_BUGGY,1,0.2503,FAIL,TRUE_REJECTION,0,44.0,0.2898,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0035,popcount_8bit_02,Arithmetic Datapath,DeepSeek-Coder-V2-0724,DeepSeek,DeepSeek-Coder-V2,DeepSeek,1,88.55,79.35,64.79,25,12,13,48.0,40.55,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_CORRECT,0,0.99,PASS,TRUE_ACCEPTANCE,0,66.12,0.3726,1.74,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0036,popcount_8bit_02,Arithmetic Datapath,DeepSeek-Coder-V2-0724,DeepSeek,Qwen2.5-Coder-32B,Qwen,0,95.23,80.61,65.21,25,11,14,44.0,51.23,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_BUGGY,1,0.2832,FAIL,TRUE_REJECTION,0,40.0,0.2705,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0037,popcount_8bit_02,Arithmetic Datapath,Qwen2.5-Coder-32B,Qwen,GPT-4o,OpenAI,0,88.85,81.84,68.79,25,9,16,36.0,52.85,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.2818,FAIL,TRUE_REJECTION,0,36.0,0.2318,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0038,popcount_8bit_02,Arithmetic Datapath,Qwen2.5-Coder-32B,Qwen,DeepSeek-Coder-V2,DeepSeek,0,97.27,86.07,76.44,25,10,15,40.0,57.27,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_CORRECT,0,0.9243,PASS,TRUE_ACCEPTANCE,0,38.0,0.2539,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0039,popcount_8bit_02,Arithmetic Datapath,Qwen2.5-Coder-32B,Qwen,Qwen2.5-Coder-32B,Qwen,1,93.91,83.03,69.43,25,10,15,40.0,53.91,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.5821,PASS,FALSE_ACCEPTANCE,1,68.0,0.3969,1.7,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0040,popcount_8bit_02,Arithmetic Datapath,Qwen2.5-Coder-32B,Qwen,Llama-3.1-70B-Instruct,Meta,0,95.08,88.87,80.27,25,10,15,40.0,55.08,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_BUGGY,1,0.5959,PASS,FALSE_ACCEPTANCE,1,44.0,0.2898,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0041,popcount_8bit_02,Arithmetic Datapath,Llama-3.1-70B-Instruct,Meta,Llama-3.1-70B-Instruct,Meta,1,96.13,87.74,74.52,25,9,16,36.0,60.13,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_CORRECT,0,0.8318,PASS,TRUE_ACCEPTANCE,0,73.92,0.4253,1.68,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0042,popcount_8bit_02,Arithmetic Datapath,CodeLlama-34B-Instruct,Meta,GPT-4o,OpenAI,0,94.07,79.27,68.15,25,6,19,24.0,70.07,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_BUGGY,1,0.1166,FAIL,TRUE_REJECTION,0,36.0,0.2318,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
