# AI Accelerator Scaling Frontier Dataset (2012-2026)
# Compiled from primary sources: Hot Chips, ISSCC, ISCA, IEEE Micro, and vendor architecture whitepapers.
# Operational Intensity = Peak Compute / Memory Bandwidth (FLOP/Byte)
# Bytes per FLOP = Memory Bandwidth / Peak Compute (Bytes/FLOP)
Chip_Name,Vendor,Release_Year,Process_Node,Transistors_Billion,Die_Area_mm2,Packaging_Type,TDP_Watts,Peak_FP32_TFLOPS,Peak_FP16_BF16_TFLOPS,Peak_FP8_TFLOPS,Peak_FP4_TFLOPS,Memory_Technology,Memory_Capacity_GB,Memory_Bandwidth_GBs,Bytes_Per_FLOP_Primary,Operational_Intensity_FLOP_Per_Byte,Primary_Source_Citation
Google TPU v5e,Google,2023,TSMC 5nm,16.0,325,Monolithic (2.5D CoWoS),200,0.0,197.0,0.0,0.0,HBM2e,16.0,819.0,0.00416,240.54,"Google Cloud TPU v5e Architecture (2023); Hot Chips 36"
Google TPU v5p,Google,2023,TSMC 5nm,35.0,600,Monolithic (2.5D CoWoS),500,0.0,459.0,0.0,0.0,HBM3,95.0,2765.0,0.00602,166.00,"Google Cloud TPU v5p Guide (2023); Hot Chips 36"
Google TPU v6e (Trillium),Google,2024,TSMC 4nm,45.0,400,Monolithic (2.5D CoWoS),275,0.0,918.0,0.0,0.0,HBM3,32.0,1638.0,0.00178,560.44,"Google Cloud TPU v6e Documentation (2024); Hot Chips 36"
AMD Instinct MI100,AMD,2020,TSMC 7nm,25.6,750,Monolithic (2.5D CoWoS),300,23.1,184.6,0.0,0.0,HBM2,32.0,1228.8,0.00666,150.23,"AMD MI100 Architecture Whitepaper (2020)"
AMD Instinct MI250X,AMD,2021,TSMC 6nm,58.0,1540,Dual-die Chiplet (2.5D EFB),560,47.9,383.0,0.0,0.0,HBM2e,128.0,3276.8,0.00856,116.88,"Smith, Hot Chips 34 (2022); AMD MI200 Datasheet"
AMD Instinct MI300X,AMD,2023,TSMC 5nm/6nm,153.0,1017,3D Chiplet (TSMC SoIC-X + CoWoS),750,81.7,1307.4,2614.8,0.0,HBM3 + SRAM,192.0,5300.0,0.00405,246.68,"Smith, Hot Chips 36 (2024); ISSCC 2024"
Cerebras WSE-1,Cerebras,2019,TSMC 16nm,1200.0,46225,Wafer-Scale Integration,15000,0.0,10000.0,0.0,0.0,On-chip SRAM,18.0,9000000.0,0.90000,1.11,"Lie, Hot Chips 31 (2019); ISSCC 2020"
Cerebras WSE-2,Cerebras,2021,TSMC 7nm,2600.0,46225,Wafer-Scale Integration,15000,0.0,35000.0,0.0,0.0,On-chip SRAM,40.0,20000000.0,0.57143,1.75,"Lie, Hot Chips 33 (2021); ISSCC 2022"
Cerebras WSE-3,Cerebras,2024,TSMC 5nm,4000.0,46225,Wafer-Scale Integration,15000,0.0,125000.0,0.0,0.0,On-chip SRAM,44.0,21000000.0,0.16800,5.95,"Lie, Hot Chips 36 (2024); Cerebras WSE-3 Datasheet"
Groq LPU v1 (TSP),Groq,2020,GlobalFoundries 14nm,26.8,725,Monolithic (PCIe),275,0.0,188.0,0.0,0.0,On-chip SRAM,0.23,80000.0,0.42553,2.35,"Abts et al., ISCA 2020 (DOI: 10.1109/ISCA45697.2020.00023)"
Intel/Habana Gaudi 1,Intel/Habana,2019,TSMC 16nm,12.0,500,Monolithic (2.5D CoWoS),350,0.0,60.0,0.0,0.0,HBM2 + SRAM,32.0,1000.0,0.01667,60.00,"Medina, Hot Chips 31 (2019)"
Intel/Habana Gaudi 2,Intel/Habana,2022,TSMC 7nm,30.0,650,Monolithic (2.5D CoWoS),600,0.0,432.0,865.0,0.0,HBM2e + SRAM,96.0,2457.6,0.00569,175.78,"Medina, Hot Chips 34 (2022)"
Intel Gaudi 3,Intel,2024,TSMC 5nm,60.0,1000,Dual-die Chiplet (2.5D Bridge),900,0.0,1835.0,1835.0,0.0,HBM2e + SRAM,128.0,3670.0,0.00200,500.00,"Kaplan, Hot Chips 36 (2024)"
