# SYNTHETIC DATA. NOT A MEASUREMENT. DO NOT CITE AS EVIDENCE.
# Per-module values in this file were typed into literal tables inside
# data/scrapers/mine_hardware_ast_complexity.py. No parser read any Verilog.
#
# Two independent fabrication signatures:
#   1. Tool versions (Pyverilog 1.3.0, CIRCT 1.65.0, Yosys, Verilator, cloc)
#      are string literals in the generator, not captured from any tool.
#   2. The "pinned" upstream commits are hand-typed placeholders, e.g.
#      a1b2c3d4e5f67890abcdef1234567890abcdef12 (mine_hardware_ast_complexity.py:73)
#      and 7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c (line 100). They resolve to
#      nothing. The file invited readers to verify it against repositories the
#      generator never opened.
#
# Its headline claim was a 175x AST complexity gap (median 73 nodes vs 12,800,
# max 448,000, N=550). The measured replacement parses 1,513 real module
# declarations with pyslang 11.0.0 from six genuinely pinned commits and finds
# 6.7x (168 vs 1,125 nodes), with sensitivity checks at 4.77x and 4.27x.
# Direction survives; magnitude was overstated by more than an order of magnitude.
#
# Replacement: data/source-receipts/hardware_ast_complexity_measured.csv
# Reproduction: data/studies/02-ast-complexity-cliff/REPRODUCE.md
# Quarantined 2026-09-03. Retained only so the published claim can be traced.
# Hardware AST Complexity & Clock-Domain Disparity Receipt
# Architecture 2.0: Track 2 — The AI Benchmark Mirage vs. Physical Silicon AST Complexity
# Generated by mine_hardware_ast_complexity.py on 2026-08-24T09:35:12.496776+00:00
# Tool versions: Pyverilog 1.3.0 | CIRCT 1.65.0 | Yosys 0.67+post (git sha1 b8e7da6) | Verilator 5.028 | cloc 2.02
# Upstream Sources & Repositories:
#   - VerilogEval: https://github.com/NVlabs/verilog-eval (commit c498220d0a)
#   - RTLLM: https://github.com/hkust-zhiyao/RTLLM (commit 8f3b2a19dc)
#   - HumanEval-Synthesize: https://github.com/shailja-thakur/VeriGen (commit a1b2c3d4e5)
#   - OpenTitan: https://github.com/lowRISC/opentitan (commit 2f4e8b91a0)
#   - SonicBOOM: https://github.com/riscv-boom/riscv-boom (commit 4e7d3a82c1)
#   - SweRV / VeeR: https://github.com/chipsalliance/Cores-SweRV (commit 7b8c9d0e1f)
#   - CV32E40P: https://github.com/openhwgroup/cv32e40p (commit 3c5d7e9f1a)
#   - BlackParrot: https://github.com/black-parrot/black-parrot (commit 9a0b1c2d3e)
#   - OpenROAD Signoff: https://github.com/The-OpenROAD-Project/OpenROAD (commit 5e6f7a8b9c)
# Summary: Empirically measures 139.7x LoC, 175.3x AST node count, 230x state bit space, and 0% CDC vs 98.9% multi-clock disparity.
corpus_type,corpus_name,module_or_system,source_url,commit_hash,loc_clean,loc_raw,ast_node_count,ast_max_depth,clock_domains_count,is_multiclock,cdc_crossings_count,sequential_state_bits,combinational_cell_count,hierarchy_depth,submodule_count,primary_function,extraction_timestamp
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_013,https://github.com/NVlabs/verilog-eval,c498220d0a,23,27,44,3,0,0,0,0,41,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_014,https://github.com/NVlabs/verilog-eval,c498220d0a,16,18,44,2,0,0,0,0,41,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_015,https://github.com/NVlabs/verilog-eval,c498220d0a,21,24,54,2,0,0,0,0,49,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_016,https://github.com/NVlabs/verilog-eval,c498220d0a,14,16,49,3,0,0,0,0,45,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_017,https://github.com/NVlabs/verilog-eval,c498220d0a,7,8,48,2,0,0,0,0,44,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_018,https://github.com/NVlabs/verilog-eval,c498220d0a,17,20,22,3,0,0,0,0,22,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_019,https://github.com/NVlabs/verilog-eval,c498220d0a,20,24,21,2,0,0,0,0,21,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_020,https://github.com/NVlabs/verilog-eval,c498220d0a,16,19,47,2,0,0,0,0,43,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_021,https://github.com/NVlabs/verilog-eval,c498220d0a,9,10,19,2,0,0,0,0,20,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_022,https://github.com/NVlabs/verilog-eval,c498220d0a,13,15,33,2,0,0,0,0,32,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_023,https://github.com/NVlabs/verilog-eval,c498220d0a,10,11,39,3,0,0,0,0,37,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_024,https://github.com/NVlabs/verilog-eval,c498220d0a,22,25,44,2,0,0,0,0,41,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_025,https://github.com/NVlabs/verilog-eval,c498220d0a,15,17,23,2,0,0,0,0,23,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_026,https://github.com/NVlabs/verilog-eval,c498220d0a,19,22,21,2,0,0,0,0,21,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_027,https://github.com/NVlabs/verilog-eval,c498220d0a,16,19,32,3,0,0,0,0,31,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_028,https://github.com/NVlabs/verilog-eval,c498220d0a,8,9,12,2,0,0,0,0,14,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_029,https://github.com/NVlabs/verilog-eval,c498220d0a,15,18,22,2,0,0,0,0,22,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_030,https://github.com/NVlabs/verilog-eval,c498220d0a,20,24,17,3,0,0,0,0,18,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_031,https://github.com/NVlabs/verilog-eval,c498220d0a,14,16,27,3,0,0,0,0,26,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_032,https://github.com/NVlabs/verilog-eval,c498220d0a,18,20,29,3,0,0,0,0,28,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_033,https://github.com/NVlabs/verilog-eval,c498220d0a,8,9,26,3,0,0,0,0,26,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_034,https://github.com/NVlabs/verilog-eval,c498220d0a,9,10,45,3,0,0,0,0,42,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_035,https://github.com/NVlabs/verilog-eval,c498220d0a,20,23,25,2,0,0,0,0,25,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_036,https://github.com/NVlabs/verilog-eval,c498220d0a,22,27,23,3,0,0,0,0,23,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_037,https://github.com/NVlabs/verilog-eval,c498220d0a,23,28,21,3,0,0,0,0,21,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_038,https://github.com/NVlabs/verilog-eval,c498220d0a,15,17,26,3,0,0,0,0,26,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_001,https://github.com/NVlabs/verilog-eval,c498220d0a,56,66,73,4,1,0,0,7,66,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_002,https://github.com/NVlabs/verilog-eval,c498220d0a,65,77,99,4,1,0,0,12,88,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_003,https://github.com/NVlabs/verilog-eval,c498220d0a,22,26,83,4,1,0,0,3,74,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_004,https://github.com/NVlabs/verilog-eval,c498220d0a,41,47,100,3,1,0,0,5,89,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_005,https://github.com/NVlabs/verilog-eval,c498220d0a,30,35,116,3,1,0,0,15,102,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_006,https://github.com/NVlabs/verilog-eval,c498220d0a,32,36,177,5,1,0,0,6,154,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_007,https://github.com/NVlabs/verilog-eval,c498220d0a,48,58,152,6,1,0,0,13,133,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_008,https://github.com/NVlabs/verilog-eval,c498220d0a,28,33,75,4,1,0,0,4,67,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_009,https://github.com/NVlabs/verilog-eval,c498220d0a,48,59,169,3,1,0,0,8,147,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_010,https://github.com/NVlabs/verilog-eval,c498220d0a,67,79,94,6,1,0,0,15,83,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_011,https://github.com/NVlabs/verilog-eval,c498220d0a,51,59,108,5,1,0,0,12,95,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_012,https://github.com/NVlabs/verilog-eval,c498220d0a,66,79,176,3,1,0,0,2,153,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_013,https://github.com/NVlabs/verilog-eval,c498220d0a,44,50,95,6,1,0,0,13,84,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_014,https://github.com/NVlabs/verilog-eval,c498220d0a,47,57,100,6,1,0,0,7,89,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_015,https://github.com/NVlabs/verilog-eval,c498220d0a,27,33,50,4,1,0,0,15,46,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_016,https://github.com/NVlabs/verilog-eval,c498220d0a,36,44,168,5,1,0,0,2,146,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_017,https://github.com/NVlabs/verilog-eval,c498220d0a,31,37,104,6,1,0,0,12,92,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_018,https://github.com/NVlabs/verilog-eval,c498220d0a,30,35,91,4,1,0,0,3,81,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_019,https://github.com/NVlabs/verilog-eval,c498220d0a,21,24,174,3,1,0,0,9,151,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_020,https://github.com/NVlabs/verilog-eval,c498220d0a,67,81,62,4,1,0,0,13,56,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_021,https://github.com/NVlabs/verilog-eval,c498220d0a,41,50,99,6,1,0,0,15,88,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_022,https://github.com/NVlabs/verilog-eval,c498220d0a,59,68,176,3,1,0,0,2,153,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_023,https://github.com/NVlabs/verilog-eval,c498220d0a,54,64,74,4,1,0,0,8,66,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_024,https://github.com/NVlabs/verilog-eval,c498220d0a,37,43,78,6,1,0,0,4,70,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_025,https://github.com/NVlabs/verilog-eval,c498220d0a,29,33,125,5,1,0,0,5,110,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_026,https://github.com/NVlabs/verilog-eval,c498220d0a,47,56,135,6,1,0,0,2,118,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_027,https://github.com/NVlabs/verilog-eval,c498220d0a,66,81,170,6,1,0,0,5,148,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_028,https://github.com/NVlabs/verilog-eval,c498220d0a,62,76,174,3,1,0,0,2,151,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_029,https://github.com/NVlabs/verilog-eval,c498220d0a,27,32,62,5,1,0,0,6,56,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_030,https://github.com/NVlabs/verilog-eval,c498220d0a,31,35,158,5,1,0,0,6,138,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_031,https://github.com/NVlabs/verilog-eval,c498220d0a,67,81,70,6,1,0,0,7,63,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_032,https://github.com/NVlabs/verilog-eval,c498220d0a,20,24,140,6,1,0,0,3,123,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_033,https://github.com/NVlabs/verilog-eval,c498220d0a,46,56,174,6,1,0,0,5,151,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_034,https://github.com/NVlabs/verilog-eval,c498220d0a,27,31,141,3,1,0,0,2,123,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_035,https://github.com/NVlabs/verilog-eval,c498220d0a,38,44,104,5,1,0,0,12,92,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_036,https://github.com/NVlabs/verilog-eval,c498220d0a,53,63,100,6,1,0,0,12,89,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_037,https://github.com/NVlabs/verilog-eval,c498220d0a,21,25,135,6,1,0,0,7,118,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_038,https://github.com/NVlabs/verilog-eval,c498220d0a,24,28,100,5,1,0,0,6,89,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_039,https://github.com/NVlabs/verilog-eval,c498220d0a,54,63,61,5,1,0,0,7,55,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_040,https://github.com/NVlabs/verilog-eval,c498220d0a,27,31,98,3,1,0,0,12,87,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_041,https://github.com/NVlabs/verilog-eval,c498220d0a,36,42,66,3,1,0,0,11,60,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_fsm_detect_042,https://github.com/NVlabs/verilog-eval,c498220d0a,38,44,83,4,1,0,0,15,74,1,0,Finite State Machine,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_001,https://github.com/NVlabs/verilog-eval,c498220d0a,30,37,87,4,1,0,0,13,77,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_002,https://github.com/NVlabs/verilog-eval,c498220d0a,31,36,79,4,1,0,0,28,71,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_003,https://github.com/NVlabs/verilog-eval,c498220d0a,42,52,47,3,1,0,0,7,43,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_004,https://github.com/NVlabs/verilog-eval,c498220d0a,20,23,49,3,1,0,0,7,45,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_005,https://github.com/NVlabs/verilog-eval,c498220d0a,20,24,59,4,1,0,0,12,54,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_006,https://github.com/NVlabs/verilog-eval,c498220d0a,20,23,104,3,1,0,0,11,92,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_007,https://github.com/NVlabs/verilog-eval,c498220d0a,36,43,85,3,1,0,0,7,76,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_008,https://github.com/NVlabs/verilog-eval,c498220d0a,30,37,48,3,1,0,0,9,44,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_009,https://github.com/NVlabs/verilog-eval,c498220d0a,25,30,81,4,1,0,0,12,72,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_010,https://github.com/NVlabs/verilog-eval,c498220d0a,36,43,61,4,1,0,0,24,55,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_011,https://github.com/NVlabs/verilog-eval,c498220d0a,19,22,56,4,1,0,0,15,51,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_012,https://github.com/NVlabs/verilog-eval,c498220d0a,14,16,64,4,1,0,0,24,58,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_013,https://github.com/NVlabs/verilog-eval,c498220d0a,23,28,92,3,1,0,0,14,82,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_014,https://github.com/NVlabs/verilog-eval,c498220d0a,23,26,59,4,1,0,0,25,54,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_015,https://github.com/NVlabs/verilog-eval,c498220d0a,35,43,105,3,1,0,0,30,93,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_shift_counter_016,https://github.com/NVlabs/verilog-eval,c498220d0a,41,47,37,4,1,0,0,4,35,1,0,Sequential Shift/Counter,2026-08-24T09:35:12.496776+00:00
