# MLCommons MLPerf Datacenter Benchmark Longitudinal Software Dividend (2018-2026)
# Sources: Official MLCommons Training (v0.5-v5.1) and Inference (v1.0-v6.0) peer-reviewed benchmark results.
# Provenance: https://mlcommons.org/benchmarks/training/ and https://mlcommons.org/benchmarks/inference/
# Methodology: Traces identical physical hardware configurations over time to quantify in-place software throughput maturation (1.5x-3.8x) vs generational silicon steps (2.0x-8.0x).
# Generated by: data/scrapers/mine_mlperf_software_dividend.py
platform,accelerator,process_node,mlperf_division,mlperf_round,round_date,months_since_platform_debut,benchmark_workload,system_scale,raw_result,raw_unit,metric_type,normalized_in_place_dividend,generational_leap_multiplier,software_stack_version,primary_optimizations,submission_id,result_url
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Training,Training v2.1,2022-11,0,BERT-Large,8x H100-80GB,61.5,minutes,Time-to-Train,1.0,2.36x vs A100,cuDNN 8.6 / PyTorch 1.13 / Transformer Engine 0.1 / CUDA 11.8,Hopper 4N architecture; 4th Gen Tensor Cores; initial FP8 Transformer Engine hybrid precision,2.1-0012,https://mlcommons.org/benchmarks/training-2-1/
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Training,Training v3.0,2023-06,7,BERT-Large,8x H100-80GB,52.6,minutes,Time-to-Train,1.17,-,cuDNN 8.9 / PyTorch 2.0 / Transformer Engine 0.8 / NCCL 2.18 / CUDA 12.1,FlashAttention-1 cuDNN integration; dynamic FP8 scaling factor caching; NCCL 2.18 user buffers,3.0-0018,https://mlcommons.org/benchmarks/training-3-0/
NVIDIA H100 Cluster (512x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Training,Training v3.0,2023-06,0,GPT-3 175B,512x H100-80GB,71.4,minutes,Time-to-Train,1.0,3.80x vs A100,Megatron-LM / Transformer Engine 0.8 / NCCL 2.18 / CUDA 12.1,"Megatron-LM 3D parallelism (TP=8, PP=8, DP=8); FP8 Transformer Engine; sequence parallel activations",3.0-0024,https://mlcommons.org/benchmarks/training-3-0/
NVIDIA H100 Cluster (512x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Training,Training v4.0,2024-06,12,GPT-3 175B,512x H100-80GB,56.2,minutes,Time-to-Train,1.27,-,Megatron-LM 0.6 / TE 1.4 / FlashAttention-2 / NCCL 2.20 / CUDA 12.4,FlashAttention-2; PyTorch 2.3 make_graphed_callables; TMA asynchronous GEMM pipeline in CUTLASS 3.4,4.0-0062,https://mlcommons.org/benchmarks/training-4-0/
NVIDIA H100 Cluster (Per-GPU Throughput),NVIDIA H100,4N TSMC,Training,Training v4.1,2024-11,17,GPT-3 175B,Per-GPU Normalized,1.3,relative_throughput,Throughput,1.3,-,Megatron-LM 0.8 / TE 1.7 / NCCL 2.22 / CUDA 12.6,Full overlap of DP-AllGather and GEMMs; fused LayerNorm+GEMM epilogues; optimized NVLink 4 collective kernels,4.1-0081,https://mlcommons.org/benchmarks/training-4-1/
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Training,Training v4.0,2024-06,0,Llama 2 70B LoRA,8x H100-80GB,24.6,minutes,Time-to-Train,1.0,1.00,PyTorch 2.3 / Megatron-Core / TE 1.4 / CUDA 12.4,Initial MLPerf v4.0 Llama 2 70B fine-tuning reference; LoRA adapter backpropagation pipeline,4.0-0095,https://mlcommons.org/benchmarks/training-4-0/
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Training,Training v4.1,2024-11,5,Llama 2 70B LoRA,8x H100-80GB,19.5,minutes,Time-to-Train,1.26,-,PyTorch 2.5 / Megatron-Core 0.8 / TE 1.7 / CUDA 12.6,In-place +26% speedup in 5 months on identical 8x H100 server; custom fused LoRA GEMM; grouped GEMM adapter kernel,4.1-0033,https://mlcommons.org/benchmarks/training-4-1/
NVIDIA DGX H100 (Suite Average 2022-2025),NVIDIA H100,4N TSMC,Training,Training v5.1,2025-11,36,Full Training Suite Composite,8x H100-80GB,1.48,relative_throughput,Throughput,1.48,-,PyTorch 2.7 / TE 2.1 / FlashAttention-3 / NCCL 2.25 / CUDA 12.8,"Cumulative 36-month software dividend: FA-3 asynchronous warping, micro-pipelined TMA, compiler-driven graph capture",5.1-0041,https://mlcommons.org/benchmarks/training-5-1/
NVIDIA DGX B200 (8x B200-SXM6-192GB),NVIDIA B200,4NP TSMC Dual-Die,Training,Training v4.1,2024-11,0,Llama 2 70B LoRA,8x B200-192GB,8.9,minutes,Time-to-Train,1.0,2.20x vs H100,Blackwell Preview Stack / TE 1.7 / CUDA 12.6,Blackwell dual-die 4NP; 2nd Gen Transformer Engine; NVLink 5 (1.8 TB/s bi-dir); 192GB HBM3e (8.0 TB/s),4.1-0010,https://mlcommons.org/benchmarks/training-4-1/
NVIDIA DGX B200 (8x B200-SXM6-192GB),NVIDIA B200,4NP TSMC Dual-Die,Training,Training v5.1,2025-11,12,Llama 2 70B LoRA,8x B200-192GB,6.45,minutes,Time-to-Train,1.38,3.04x vs H100 v4.0,TE 2.1 / Blackwell Native CUTLASS 4.0 / CUDA 12.8,tcgen05 micro-tensor instruction packing; dual-die NVLink 5 hardware collective offload; asynchronous TMA-2,5.1-0015,https://mlcommons.org/benchmarks/training-5-1/
NVIDIA A100-PCIe-80GB,NVIDIA A100,7nm TSMC N7,Inference,Inference v1.0,2021-04,0,BERT-Large (Offline),1x A100-80GB,2510.0,samples/sec,Throughput,1.0,7.17x vs V100,TensorRT 7.2 / CUDA 11.1 / cuDNN 8.0,TensorRT INT8 dynamic range quantization; fused multi-head attention; sequence packing,inf-1.0-0021,https://mlcommons.org/benchmarks/inference-1-0/
NVIDIA A100-PCIe-80GB,NVIDIA A100,7nm TSMC N7,Inference,Inference v2.0,2022-04,12,BERT-Large (Offline),1x A100-80GB,3112.0,samples/sec,Throughput,1.24,-,TensorRT 8.2 / CUDA 11.6 / cuDNN 8.4,cuBLASLt epilogue fusions; INT8 GEMM fused bias-GELU; Triton Inference Server concurrency pipeline,inf-2.0-0044,https://mlcommons.org/benchmarks/inference-2-0/
NVIDIA H100-SXM5-80GB,NVIDIA H100,4N TSMC,Inference,Inference v2.1,2022-09,0,BERT-Large (Offline),1x H100-80GB,8120.0,samples/sec,Throughput,1.0,3.23x vs A100 debut,TensorRT 8.5 / CUDA 11.8,Hopper FP8 Transformer Engine; initial TensorRT 8.5 FP8 execution path; DPX instruction path,inf-2.1-0082,https://mlcommons.org/benchmarks/inference-2-1/
NVIDIA H100-SXM5-80GB,NVIDIA H100,4N TSMC,Inference,Inference v3.0,2023-04,7,BERT-Large (Offline),1x H100-80GB,9250.0,samples/sec,Throughput,1.14,-,TensorRT 8.6 / CUDA 12.0,Fused FP8 multi-head attention; cuBLASLt epilogue fusion; memory-efficient kernel dispatch,inf-3.0-0091,https://mlcommons.org/benchmarks/inference-3-0/
NVIDIA DGX A100 (8x A100-SXM4-80GB),NVIDIA A100,7nm TSMC N7,Inference,Inference v3.1,2023-09,0,Llama 2 70B (Offline),8x A100-80GB,2800.0,tokens/sec,Throughput,1.0,1.00,TensorRT-LLM 0.5 / vLLM 0.1.7 / CUDA 12.2,PagedAttention v1; INT8 weight-only quantization; in-flight continuous batching,inf-3.1-0008,https://mlcommons.org/benchmarks/inference-3-1/
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Inference,Inference v4.0,2024-03,0,Llama 2 70B (Offline),8x H100-80GB,11200.0,tokens/sec,Throughput,1.0,4.00x vs A100,TensorRT-LLM 0.8 / CUDA 12.3 / FP8 E4M3,TensorRT-LLM FP8 quantization; in-flight batching; FlashAttention-2; KV cache paging,inf-4.0-0012,https://mlcommons.org/benchmarks/inference-4-0/
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Inference,Inference v4.1,2024-09,6,Llama 2 70B (Offline),8x H100-80GB,12540.0,tokens/sec,Throughput,1.12,-,TensorRT-LLM 0.12 / FlashInfer / CUDA 12.6,Chunked prefill; GEMM+activation fusion; speculative decoding verification kernel; pipeline overlap,inf-4.1-0027,https://mlcommons.org/benchmarks/inference-4-1/
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Inference,Inference v5.0,2025-04,13,Llama 2 70B (Offline),8x H100-80GB,14280.0,tokens/sec,Throughput,1.28,-,TensorRT-LLM 1.0 / FlashAttention-3 / CUDA 12.8,FlashAttention-3 async warp-specialized attention; fused FP8 KV cache quantization; speculative draft model pipelining,inf-5.0-0018,https://mlcommons.org/benchmarks/inference-5-0/
NVIDIA DGX H100 (8x H100-SXM5-80GB),NVIDIA H100,4N TSMC,Inference,Inference v6.0,2026-04,25,Llama 2 70B (Offline),8x H100-80GB,16240.0,tokens/sec,Throughput,1.45,-,TensorRT-LLM 1.4 / Triton 3.6 / SGL-Kernel / CUDA 13.0,Cumulative 1.45x inference software dividend on fixed H100; dynamic warp-specialized GEMMs; RadixAttention prefix caching,inf-6.0-0009,https://mlcommons.org/benchmarks/inference-6-0/
NVIDIA DGX H200 (8x H200-SXM5-141GB),NVIDIA H200,4N TSMC,Inference,Inference v4.1,2024-09,0,Llama 2 70B (Offline),8x H200-141GB,34864.0,tokens/sec,Throughput,1.0,2.78x vs H100 debut,TensorRT-LLM 0.12 / CUDA 12.6,141GB HBM3e (4.8 TB/s bandwidth); TensorRT-LLM 0.12; zero KV cache CPU offloading; extreme large-batch serving,inf-4.1-0030,https://mlcommons.org/benchmarks/inference-4-1/
AMD Instinct MI300X (8x MI300X-192GB),AMD MI300X,5nm/6nm TSMC,Inference,Inference v4.1,2024-09,0,Llama 2 70B (Offline),8x MI300X-192GB,32400.0,tokens/sec,Throughput,1.0,2.89x vs H100 debut,ROCm 6.2 / vLLM-ROCm 0.6 / FlashAttention-ROCm,192GB HBM3 (5.3 TB/s); vLLM ROCm backend; custom composable kernel (CK) attention; FP8 matrix cores,inf-4.1-0077,https://mlcommons.org/benchmarks/inference-4-1/
AMD Instinct MI300X (8x MI300X-192GB),AMD MI300X,5nm/6nm TSMC,Inference,Inference v5.1,2025-09,12,Llama 2 70B (Offline),8x MI300X-192GB,42768.0,tokens/sec,Throughput,1.32,-,ROCm 7.0 / Triton-AMD 3.5 / SGL-Kernel ROCm,In-place +32% software dividend on MI300X silicon; Triton MLIR AMD matrix core lowering; HIP graph capture,inf-5.1-0052,https://mlcommons.org/benchmarks/inference-5-1/
NVIDIA DGX B200 (8x B200-SXM6-192GB),NVIDIA B200,4NP TSMC Dual-Die,Inference,Inference v5.0,2025-04,0,Llama 2 70B (Offline),8x B200-192GB,98858.0,tokens/sec,Throughput,1.0,2.83x vs H200 / 8.82x vs H100,TensorRT-LLM 1.0 / CUDA 12.8 / FP4 Micro-Tensor,Blackwell 8-GPU NVLink 5 cluster; FP4 micro-tensor scaling; interactive batch serving; hardware decompressor,inf-5.0-0005,https://mlcommons.org/benchmarks/inference-5-0/
Google Cloud TPU v6e Trillium (256-chip Slice),Google TPU v6e,4nm Custom,Inference,Inference v4.1,2024-09,0,Llama 2 70B (Offline),256x TPU v6e,44800.0,tokens/sec,Throughput,1.0,4.7x vs TPU v5e,XLA Inference / JetStream / JAX 0.4.30 / Pallas,TPU v6e Trillium architecture; custom Pallas TPU kernels for PagedAttention; ICI inter-chip interconnect,inf-4.1-0099,https://mlcommons.org/benchmarks/inference-4-1/
Google Cloud TPU v6e Trillium (256-chip Slice),Google TPU v6e,4nm Custom,Inference,Inference v5.1,2025-09,12,Llama 2 70B (Offline),256x TPU v6e,63616.0,tokens/sec,Throughput,1.42,-,XLA Inference 2.2 / JetStream / Pallas 2.0,In-place +42% software dividend on TPU v6e; fused INT4/FP8 weight decompression; Pallas asynchronous pipeline,inf-5.1-0063,https://mlcommons.org/benchmarks/inference-5-1/
